,15-Jan,15-Feb,15-Mar,15-Apr,15-May,15-Jun,15-Jul,15-Aug,15-Sep,15-Oct,15-Nov,15-Dec
Arizona : all sectors,9.34,9.46,9.51,10,10.68,11.25,11.37,11.16,11,10.24,9.17,9.15
Arizona : residential,10.99,11.52,11.46,12.21,12.64,12.71,12.78,12.59,12.69,12.16,11.24,10.7
Arizona : commercial,9.45,9.58,9.61,10,10.7,11.3,11.4,11.09,10.97,10.49,9.46,9.49
Arizona : industrial,5.84,5.98,5.95,6.14,6.8,6.82,6.97,6.83,6.55,6.11,5.54,5.39
,,,,,,,,,,,,
,,,,,,,,,,,,
month,year,Arizona : residential,Arizona : commercial,Arizona : industrial,,,,,,,,
1,2015,10.99,9.45,5.84,,,,,,,,
2,2015,11.52,9.58,5.98,,,,,,,,
3,2015,11.46,9.61,5.95,,,,,,,,
4,2015,12.21,10,6.14,,,,,,,,
5,2015,12.64,10.7,6.8,,,,,,,,
6,2015,12.71,11.3,6.82,,,,,,,,
7,2015,12.78,11.4,6.97,,,,,,,,
8,2015,12.59,11.09,6.83,,,,,,,,
9,2015,12.69,10.97,6.55,,,,,,,,
10,2015,12.16,10.49,6.11,,,,,,,,
11,2015,11.24,9.46,5.54,,,,,,,,
12,2015,10.7,9.49,5.39,,,,,,,,
